26.525	161.6564148
29	160.0744193
31.475	158.5234632
33.9	157.0351978
36.275	155.6086782
38.6	154.2426908
40.875	152.9358072
43.1	151.6864331
45.275	150.4928511
47.4	149.3532586
49.475	148.2657992
51.5	147.2285907
53.475	146.2397474
55.4	145.2973987
57.275	144.3997039
59.1	143.5448645
60.875	142.731133
62.6	141.9568199
64.275	141.2202989
65.9	140.5200098
67.475	139.854461
69	139.2222302
70.475	138.6219648
71.9	138.052381
73.275	137.5122633
74.6	137.0004623
75.875	136.5158938
77.1	136.0575359
78.275	135.6244278
79.4	135.2156669
80.475	134.8304071
81.55	134.4502895

