 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> July 15, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Gold

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   3.780E-01  8.701E-04    1.38 um     2911 A      3282 A   
   1.00 MeV   3.790E-01  8.046E-04    1.51 um     2990 A      3426 A   
   1.10 MeV   3.781E-01  7.492E-04    1.64 um     3065 A      3565 A   
   1.20 MeV   3.759E-01  7.016E-04    1.77 um     3136 A      3700 A   
   1.30 MeV   3.727E-01  6.602E-04    1.90 um     3205 A      3832 A   
   1.40 MeV   3.688E-01  6.239E-04    2.03 um     3271 A      3962 A   
   1.50 MeV   3.645E-01  5.918E-04    2.17 um     3336 A      4091 A   
   1.60 MeV   3.598E-01  5.631E-04    2.31 um     3400 A      4218 A   
   1.70 MeV   3.550E-01  5.373E-04    2.44 um     3462 A      4346 A   
   1.80 MeV   3.500E-01  5.140E-04    2.59 um     3524 A      4473 A   
   2.00 MeV   3.401E-01  4.734E-04    2.88 um     3658 A      4727 A   
   2.25 MeV   3.279E-01  4.316E-04    3.25 um     3831 A      5048 A   
   2.50 MeV   3.163E-01  3.971E-04    3.64 um     4004 A      5373 A   
   2.75 MeV   3.053E-01  3.681E-04    4.05 um     4178 A      5705 A   
   3.00 MeV   2.952E-01  3.434E-04    4.47 um     4355 A      6043 A   
   3.25 MeV   2.857E-01  3.221E-04    4.90 um     4534 A      6389 A   
   3.50 MeV   2.769E-01  3.034E-04    5.35 um     4716 A      6742 A   
   3.75 MeV   2.688E-01  2.870E-04    5.82 um     4901 A      7103 A   
   4.00 MeV   2.612E-01  2.724E-04    6.29 um     5090 A      7472 A   
   4.50 MeV   2.475E-01  2.475E-04    7.29 um     5563 A      8234 A   
   5.00 MeV   2.355E-01  2.271E-04    8.34 um     6045 A      9027 A   
   5.50 MeV   2.249E-01  2.100E-04    9.45 um     6536 A      9851 A   
   6.00 MeV   2.155E-01  1.955E-04   10.60 um     7037 A      1.07 um  
   6.50 MeV   2.071E-01  1.830E-04   11.81 um     7547 A      1.16 um  
   7.00 MeV   1.995E-01  1.721E-04   13.06 um     8067 A      1.25 um  
   8.00 MeV   1.863E-01  1.540E-04   15.71 um     9494 A      1.44 um  
   9.00 MeV   1.762E-01  1.396E-04   18.52 um     1.09 um     1.64 um  
  10.00 MeV   1.664E-01  1.278E-04   21.51 um     1.23 um     1.85 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.9310E+02                 eV / Angstrom 
  1.9310E+03                keV / micron   
  1.9310E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.2707E+02                 eV / (1E15 atoms/cm2)
  5.4928E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
