 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon

 Ion = Helium [2] , Mass = 4.001506 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   8.643E-02  7.343E-02     155 A       152 A       114 A   
   1.50 keV   8.946E-02  7.307E-02     165 A       160 A       120 A   
   1.60 keV   9.240E-02  7.268E-02     175 A       168 A       126 A   
   1.70 keV   9.524E-02  7.226E-02     185 A       175 A       132 A   
   1.80 keV   9.800E-02  7.183E-02     196 A       183 A       138 A   
   2.00 keV   1.033E-01  7.091E-02     216 A       197 A       150 A   
   2.25 keV   1.096E-01  6.972E-02     242 A       215 A       164 A   
   2.50 keV   1.155E-01  6.852E-02     268 A       232 A       177 A   
   2.75 keV   1.211E-01  6.731E-02     293 A       249 A       191 A   
   3.00 keV   1.265E-01  6.613E-02     319 A       266 A       204 A   
   3.25 keV   1.317E-01  6.497E-02     345 A       282 A       217 A   
   3.50 keV   1.367E-01  6.384E-02     371 A       297 A       229 A   
   3.75 keV   1.415E-01  6.275E-02     397 A       312 A       242 A   
   4.00 keV   1.461E-01  6.168E-02     423 A       327 A       254 A   
   4.50 keV   1.550E-01  5.966E-02     475 A       356 A       278 A   
   5.00 keV   1.633E-01  5.777E-02     527 A       383 A       301 A   
   5.50 keV   1.713E-01  5.601E-02     579 A       409 A       324 A   
   6.00 keV   1.789E-01  5.436E-02     631 A       434 A       345 A   
   6.50 keV   1.862E-01  5.282E-02     683 A       459 A       367 A   
   7.00 keV   1.933E-01  5.137E-02     734 A       482 A       387 A   
   8.00 keV   2.066E-01  4.874E-02     837 A       526 A       427 A   
   9.00 keV   2.193E-01  4.641E-02     939 A       567 A       465 A   
  10.00 keV   2.311E-01  4.432E-02    1040 A       605 A       502 A   
  11.00 keV   2.421E-01  4.245E-02    1140 A       642 A       536 A   
  12.00 keV   2.526E-01  4.075E-02    1240 A       676 A       569 A   
  13.00 keV   2.629E-01  3.920E-02    1338 A       708 A       601 A   
  14.00 keV   2.730E-01  3.779E-02    1436 A       739 A       632 A   
  15.00 keV   2.831E-01  3.649E-02    1532 A       768 A       662 A   
  16.00 keV   2.933E-01  3.530E-02    1627 A       795 A       690 A   
  17.00 keV   3.036E-01  3.419E-02    1720 A       821 A       718 A   
  18.00 keV   3.138E-01  3.316E-02    1813 A       846 A       744 A   
  20.00 keV   3.344E-01  3.130E-02    1993 A       891 A       794 A   
  22.50 keV   3.597E-01  2.930E-02    2212 A       942 A       852 A   
  25.00 keV   3.844E-01  2.757E-02    2422 A       988 A       905 A   
  27.50 keV   4.083E-01  2.607E-02    2624 A      1029 A       953 A   
  30.00 keV   4.316E-01  2.474E-02    2820 A      1065 A       998 A   
  32.50 keV   4.541E-01  2.356E-02    3010 A      1098 A      1039 A   
  35.00 keV   4.759E-01  2.250E-02    3193 A      1129 A      1078 A   
  37.50 keV   4.971E-01  2.155E-02    3371 A      1156 A      1114 A   
  40.00 keV   5.177E-01  2.069E-02    3544 A      1182 A      1148 A   
  45.00 keV   5.572E-01  1.918E-02    3877 A      1227 A      1210 A   
  50.00 keV   5.946E-01  1.790E-02    4194 A      1266 A      1265 A   
  55.00 keV   6.303E-01  1.680E-02    4497 A      1300 A      1314 A   
  60.00 keV   6.642E-01  1.584E-02    4787 A      1330 A      1359 A   
  65.00 keV   6.966E-01  1.500E-02    5066 A      1357 A      1400 A   
  70.00 keV   7.276E-01  1.426E-02    5336 A      1381 A      1438 A   
  80.00 keV   7.857E-01  1.299E-02    5849 A      1424 A      1505 A   
  90.00 keV   8.392E-01  1.196E-02    6334 A      1459 A      1564 A   
 100.00 keV   8.885E-01  1.109E-02    6794 A      1489 A      1615 A   
 110.00 keV   9.341E-01  1.035E-02    7234 A      1516 A      1662 A   
 120.00 keV   9.762E-01  9.718E-03    7657 A      1539 A      1703 A   
 130.00 keV   1.015E+00  9.164E-03    8065 A      1560 A      1741 A   
 140.00 keV   1.051E+00  8.676E-03    8460 A      1578 A      1776 A   
 150.00 keV   1.085E+00  8.243E-03    8844 A      1595 A      1809 A   
 160.00 keV   1.116E+00  7.855E-03    9218 A      1610 A      1839 A   
 170.00 keV   1.145E+00  7.505E-03    9583 A      1624 A      1867 A   
 180.00 keV   1.172E+00  7.189E-03    9940 A      1638 A      1893 A   
 200.00 keV   1.220E+00  6.637E-03    1.06 um     1662 A      1942 A   
 225.00 keV   1.270E+00  6.065E-03    1.15 um     1690 A      1996 A   
 250.00 keV   1.311E+00  5.592E-03    1.23 um     1715 A      2045 A   
 275.00 keV   1.345E+00  5.194E-03    1.31 um     1737 A      2089 A   
 300.00 keV   1.373E+00  4.853E-03    1.38 um     1757 A      2130 A   
 325.00 keV   1.395E+00  4.558E-03    1.46 um     1775 A      2168 A   
 350.00 keV   1.413E+00  4.300E-03    1.54 um     1793 A      2204 A   
 375.00 keV   1.426E+00  4.072E-03    1.61 um     1809 A      2238 A   
 400.00 keV   1.436E+00  3.868E-03    1.68 um     1824 A      2270 A   
 450.00 keV   1.448E+00  3.522E-03    1.83 um     1858 A      2331 A   
 500.00 keV   1.452E+00  3.237E-03    1.98 um     1890 A      2388 A   
 550.00 keV   1.449E+00  2.998E-03    2.13 um     1921 A      2442 A   
 600.00 keV   1.441E+00  2.794E-03    2.27 um     1950 A      2494 A   
 650.00 keV   1.430E+00  2.618E-03    2.42 um     1979 A      2544 A   
 700.00 keV   1.416E+00  2.465E-03    2.57 um     2007 A      2593 A   
 800.00 keV   1.384E+00  2.210E-03    2.88 um     2084 A      2689 A   
 900.00 keV   1.349E+00  2.006E-03    3.19 um     2160 A      2782 A   
   1.00 MeV   1.312E+00  1.839E-03    3.51 um     2236 A      2874 A   
   1.10 MeV   1.276E+00  1.699E-03    3.84 um     2313 A      2966 A   
   1.20 MeV   1.240E+00  1.581E-03    4.18 um     2391 A      3059 A   
   1.30 MeV   1.205E+00  1.479E-03    4.53 um     2470 A      3153 A   
   1.40 MeV   1.172E+00  1.390E-03    4.89 um     2551 A      3248 A   
   1.50 MeV   1.141E+00  1.312E-03    5.26 um     2633 A      3345 A   
   1.60 MeV   1.111E+00  1.243E-03    5.65 um     2716 A      3443 A   
   1.70 MeV   1.082E+00  1.181E-03    6.04 um     2801 A      3544 A   
   1.80 MeV   1.055E+00  1.125E-03    6.44 um     2888 A      3646 A   
   2.00 MeV   1.005E+00  1.029E-03    7.27 um     3176 A      3858 A   
   2.25 MeV   9.493E-01  9.317E-04    8.37 um     3605 A      4135 A   
   2.50 MeV   9.000E-01  8.519E-04    9.53 um     4031 A      4426 A   
   2.75 MeV   8.562E-01  7.854E-04   10.76 um     4456 A      4732 A   
   3.00 MeV   8.171E-01  7.291E-04   12.04 um     4883 A      5053 A   
   3.25 MeV   7.819E-01  6.808E-04   13.38 um     5312 A      5388 A   
   3.50 MeV   7.501E-01  6.389E-04   14.79 um     5745 A      5738 A   
   3.75 MeV   7.212E-01  6.021E-04   16.25 um     6180 A      6102 A   
   4.00 MeV   6.949E-01  5.696E-04   17.76 um     6620 A      6479 A   
   4.50 MeV   6.484E-01  5.146E-04   20.97 um     8163 A      7274 A   
   5.00 MeV   6.088E-01  4.698E-04   24.39 um     9631 A      8120 A   
   5.50 MeV   5.746E-01  4.326E-04   28.02 um     1.11 um     9015 A   
   6.00 MeV   5.447E-01  4.011E-04   31.86 um     1.25 um     9957 A   
   6.50 MeV   5.183E-01  3.741E-04   35.91 um     1.39 um     1.09 um  
   7.00 MeV   4.948E-01  3.508E-04   40.15 um     1.53 um     1.20 um  
   8.00 MeV   4.547E-01  3.122E-04   49.22 um     2.02 um     1.42 um  
   9.00 MeV   4.203E-01  2.816E-04   59.06 um     2.48 um     1.65 um  
  10.00 MeV   3.884E-01  2.568E-04   69.71 um     2.94 um     1.90 um  
  11.00 MeV   3.632E-01  2.362E-04   81.16 um     3.38 um     2.17 um  
  12.00 MeV   3.414E-01  2.188E-04   93.38 um     3.83 um     2.46 um  
  13.00 MeV   3.224E-01  2.039E-04  106.34 um     4.28 um     2.76 um  
  14.00 MeV   3.056E-01  1.910E-04  120.05 um     4.74 um     3.08 um  
  15.00 MeV   2.907E-01  1.797E-04  134.48 um     5.20 um     3.41 um  
  16.00 MeV   2.774E-01  1.697E-04  149.62 um     5.67 um     3.76 um  
  17.00 MeV   2.653E-01  1.609E-04  165.48 um     6.14 um     4.12 um  
  18.00 MeV   2.544E-01  1.529E-04  182.04 um     6.62 um     4.49 um  
